,title,author,name,timeRange,update_Interval,Raum,metadatacreated,license
145,"Todesfälle nach Stadtquartier, Alter, Geschlecht und Herkunft, seit 1993","Bevölkerungsamt, Präsidialdepartement",bev_todesfaelle_jahr_alter_geschlecht_herkunft_quartier_od5703,1993 – 2020,['jaehrlich'],Stadt Zürich,"['2020-11-23', '07:49:37.148308']",cc-zero
146,"Zuzüge von auswärts nach Stadtquartier, Alter, Geschlecht und Herkunft, seit 1993","Bevölkerungsamt, Präsidialdepartement",bev_zuz_jahr_quartier_alter_geschlecht_herkunft_od5704,1993 – 2020,['jaehrlich'],Stadt Zürich,"['2020-11-23', '07:49:33.736104']",cc-zero
147,"Umzüge innerhalb der Stadt nach Stadtquartier (alt, neu), Alter, Geschlecht und Herkunft, seit 1993","Bevölkerungsamt, Präsidialdepartement",bev_umzuege_jahr_quartier_alter_geschlecht_herkunft_od5706,1993 – 2020,['jaehrlich'],Stadt Zürich,"['2020-11-23', '07:49:26.972204']",cc-zero
148,"Wegzüge nach auswärts nach Stadtquartier, Alter, Geschlecht und Herkunft, seit 1993","Bevölkerungsamt, Präsidialdepartement",bev_wegz_jahr_quartier_alter_geschlecht_herkunft_od5705,1993 – 2020,['jaehrlich'],Stadt Zürich,"['2020-11-23', '07:49:41.384131']",cc-zero
149,"Bürgerrechtswechsel nach Stadtquartier, Alter, Geschlecht und Herkunft (alt, neu), seit 1993","Bevölkerungsamt, Präsidialdepartement",bev_brw_jahr_alter_geschlecht_herkunft_quartier_od5707,1993 – 2020,['jaehrlich'],Stadt Zürich,"['2020-11-23', '07:49:48.199238']",cc-zero
150,"Geburten nach Stadtquartier, Alter der Mutter, Geschlecht des Kindes, Herkunft von Mutter und Kind, seit 1993.","Bevölkerungsamt, Präsidialdepartement",bev_geburten_jahr_altermutter_geschlecht_herkunft_quartier_od5702,1993 – 2020,['jaehrlich'],Stadt Zürich,"['2020-11-23', '07:49:53.304414']",cc-zero
151,Fahrgastzahlen VBZ,"Verkehrsbetriebe Zürich, Departement der Industriellen Betriebe",vbz_fahrgastzahlen_ogd,2014 - 2020,['jaehrlich'],Stadt Zürich,"['2019-07-29', '15:02:50.065125']",cc-zero
152,AOZ Standorte,"AOZ / DIR / KOM, AOZ, Asyl Organisation Zürich",geo_aoz_standorte,Laufende Nachführung,['woechentlich'],Schweiz,"['2019-11-18', '09:06:15.289210']",cc-zero
153,"Bevölkerung nach Religion, seit 1850",Bundesamt für Statistik,bfs_ste_bev_religion_seit1850_od3150,1850–2019,['jaehrlich'],Stadt Zürich,"['2019-07-29', '13:36:12.920870']",cc-zero
154,Geschützte Einzelbäume,"Freiraumberatung, Grün Stadt Zürich, Tiefbau- und Entsorgungsdepartement",geo_geschuetzte_einzelbaeume,Laufende Nachführung,['sporadisch oder unregelmaessig'],Kanton Zürich,"['2019-11-18', '09:15:14.656757']",cc-zero
155,Schutzanordnungen Natur und Landschaft (SAO) (OGD) (kantonaler Datensatz),"Fachstelle Naturschutz, Amt für Landschaft und Natur, Kanton Zürich",ktzh_schutzanordnungen_natur_und_landschaft__sao___ogd_,23.03.2021,['sporadisch oder unregelmaessig'],Kanton Zürich,"['2021-10-28', '03:11:52.014380']",cc-zero
156,Bevölkerung nach Geburtsort und Geburtsland,"Bevölkerungsamt, Präsidialdepartement",bev_bestand_jahr_gemeinde_land_geburtsort_od3380,2020,['jaehrlich'],Stadt Zürich,"['2019-07-29', '13:26:58.227315']",cc-zero
157,Mittlere Wohnbevölkerung,"Bevölkerungsamt, Präsidialdepartement",bev_bestand_jahr_mittlerewbev_od3224,1934–2020,['jaehrlich'],Stadt Zürich,"['2021-03-17', '18:09:40.013234']",cc-zero
158,"Aufenthaltsdauer der Wohnbevölkerung nach Alter, Geschlecht, Herkunft und Stadtkreis","Statistik Stadt Zürich, Präsidialdepartement",bev_aufenthaltsdauer_bestand_alter_geschlecht_herkunft_stadtkreis_od5241,2020,['jaehrlich'],Stadt Zürich,"['2020-01-09', '13:56:07.831136']",cc-zero
159,"Bevölkerung nach Bildungsstand, Stadtkreis und Stadtquartier",Bundesamt für Statistik,bfs_bev_bildungsstand_statquartier_od1012,2016 – 2018,['jaehrlich'],Stadt Zürich,"['2021-03-25', '15:24:35.567011']",cc-zero
160,"Bevölkerung nach Bildungsstand, Jahr, Alter und Geschlecht seit 1970",Bundesamt für Statistik,bfs_bev_bildungsstand_alter_geschl_seit1970_od1005,1970–2019,['jaehrlich'],Stadt Zürich,"['2019-07-29', '13:23:14.288061']",cc-zero
161,"Bevölkerung nach Bildungsstand, seit 1970",Bundesamt für Statistik,bfs_bev_bildungsstand_seit1970_od1002,1970–2019,['jaehrlich'],Stadt Zürich,"['2019-07-29', '13:23:16.156125']",cc-zero
162,"Mutter- und Hauptsprachen, seit 1860","Volkszählung und Strukturerhebung, Bundesamt für Statistik",bfs_ste_bev_hauptsprachen_seit1860_od3032,1860 – 2019,['jaehrlich'],Stadt Zürich,"['2019-07-29', '13:25:35.464987']",cc-zero
163,"Neue Wohnortsgebiete von durch Leerkündigung betroffener Personen, seit 2010","Statistik Stadt Zürich, Präsidialdepartement",bau_umbau_leerkuendigung_wohnortsgebiete_ag_personen_od5052,2010-2019,['jaehrlich'],Stadt Zürich,"['2020-12-07', '16:11:30.244590']",cc-zero
164,"Durch Umbau mit Leerkündigungen betroffene Wohnungen privater Eigentümerschaften, seit 2010","Statistik Stadt Zürich, Präsidialdepartement",bau_umbau_leerkuendigung_whg_baujahr_personen_od5051,2010-2019,['jaehrlich'],Stadt Zürich,"['2020-12-07', '16:11:46.186283']",cc-zero
165,Stadtkreise und Quartiere Zürich und Winterthur (OGD) (kantonaler Datensatz),"Geoinformation, Amt für Raumentwicklung, Kanton Zürich",ktzh_stadtkreise_und_quartiere_zuerich_und_winterthur__ogd_,11.03.2021,['jaehrlich'],Kanton Zürich,"['2021-10-28', '03:04:51.031150']",cc-zero
