,Id,POITypeId,POIName_de,address_city,address_kantoncode,address_zip,address_countrycode,address_street,address_gemeindeid,geopoint,poityp_de
76419,003BE_00332137,003BE,"Briefeinwurf Zürich, Tramhaltestelle  Probstei",Zürich,ZH,8051,CH,Dübendorfstrasse 227,261,"47.40033196,8.58634862",Briefeinwurf
76420,003BE_00332140,003BE,"Briefeinwurf Zürich, Bushaltestelle Waldgarten",Zürich,ZH,8051,CH,Schwamendingenstrasse 116,261,"47.4044403,8.5578849",Briefeinwurf
76422,003BE_00332147,003BE,"Briefeinwurf Zürich, BE Bushaltestelle Fronwald",Zürich,ZH,8046,CH,Fronwaldstrasse 130,261,"47.4219597,8.51054417",Briefeinwurf
76423,003BE_00332148,003BE,"Briefeinwurf Zürich, Bushaltestelle Unteraffoltern",Zürich,ZH,8046,CH,Wolfswinkel 9,261,"47.4242896,8.51265603",Briefeinwurf
76424,003BE_00332149,003BE,"Briefeinwurf Zürich, Im St. Blasienhof",Zürich,ZH,8046,CH,Horensteinstrasse 45,261,"47.42607235,8.50732124",Briefeinwurf
76425,003BE_00332150,003BE,"Briefeinwurf Zürich, Bushaltestelle Schumacherweg",Zürich,ZH,8046,CH,Glaubtenstrasse 67,261,"47.41226732,8.51550918",Briefeinwurf
76426,003BE_00332152,003BE,"Briefeinwurf Zürich, Schaffhauserstrasse",Zürich,ZH,8057,CH,Schaffhauserstrasse 289,261,"47.40564558,8.54828045",Briefeinwurf
76427,003BE_00332154,003BE,"Briefeinwurf Zürich, City Bernina",Zürich,ZH,8057,CH,Schaffhauserstrasse 239,261,"47.40352416,8.54728898",Briefeinwurf
76428,003BE_00332156,003BE,"Briefeinwurf Zürich, BE Busstation Friedackerstrasse",Zürich,ZH,8050,CH,Schwamendingenstrasse 76,261,"47.4058696,8.55313844",Briefeinwurf
76429,003BE_00332157,003BE,"Briefeinwurf Zürich, Riedgrabenweg",Zürich,ZH,8050,CH,Riedgrabenweg 49,261,"47.40826718,8.55868343",Briefeinwurf
76454,003BE_00332163,003BE,"Briefeinwurf Zürich, Tram-/Bushaltestelle Felsenrainstrasse",Zürich,ZH,8050,CH,Schaffhauserstrasse 445,261,"47.41717971,8.54539972",Briefeinwurf
76456,003BE_00332169,003BE,"Briefeinwurf Zürich, Im Holzerhurd",Zürich,ZH,8046,CH,Im Holzerhurd 30,261,"47.42352086,8.4947465",Briefeinwurf
76457,003BE_00332171,003BE,"Briefeinwurf Zürich, Bushaltestelle Lerchenrain",Zürich,ZH,8046,CH,Lerchenhalde 45,261,"47.41397384,8.5094864",Briefeinwurf
76458,003BE_00332172,003BE,"Briefeinwurf Zürich, Bushaltestelle Schwandenholz",Zürich,ZH,8046,CH,Schwandenholzstrasse 254,261,"47.4239104,8.52072006",Briefeinwurf
76476,003BE_00332185,003BE,"Briefeinwurf Zürich, Siewerdtstrasse",Zürich,ZH,8050,CH,Siewerdtstrasse 95,261,"47.41230229,8.55636978",Briefeinwurf
